Location,Date
"San Rafael, California, United States, 94903", 2015-01-08 19:07:27.690435+00:00
"St. Charles, mo, USA, 63301", 2015-01-08 18:51:45.318656+00:00
"Ontario, CA, United States, ", 2015-01-08 19:10:14.346428+00:00
"Troon, Ayrshire, United Kingdom, KA10 7DP", 2015-01-09 15:38:48.920734+00:00
"Fort Myers, FL, USA, 33908", 2015-01-09 13:43:30.338716+00:00
"Green Valley, Arizona, USA, 85614", 2015-01-09 14:49:31.432352+00:00
"York, PA, USA, 17404", 2015-01-09 14:47:07.770398+00:00
"Miami Beach, FL, United States, ", 2015-01-08 18:46:24.209668+00:00
"Verona, New Jersey, United States, ", 2015-01-09 03:39:14.975222+00:00
"Santa Cruz, CA, United States, 95066", 2015-01-08 19:15:41.607255+00:00
"Los Angeles, CA, United States, 90049", 2015-01-09 04:43:41.741451+00:00
"Alma, Mi, USA, 48801", 2015-01-09 13:40:14.030456+00:00
"Kelso, Scottish Borders, United Kingdom, ", 2015-01-09 13:40:07.928626+00:00
"BRADENTON, Florida, United States, 34211", 2015-01-09 13:43:43.949854+00:00
"Chandler, Arizona, USA, 85249", 2015-01-09 14:48:41.395210+00:00
"Livingston, Scotland, United Kingdom, EH549AT", 2015-01-09 15:11:41.710873+00:00
"San Jose, CA, United States, 95120", 2015-01-08 19:40:51.083842+00:00
"Swissvale, PA, United States, 15218", 2015-01-09 13:45:37.807394+00:00
"Pittsburgh, Pennsylvania, United States, 15228", 2015-01-09 13:46:15.345825+00:00
"Highland Village, Texas, United States, 75077", 2015-01-09 13:47:27.370794+00:00
"Shelby Township, MI, United States, None", 2015-01-09 14:49:54.075349+00:00
"Ellicott City, MD, United States, ", 2015-01-09 14:50:25.521799+00:00
"Riverside, CA, United States, 92508", 2015-01-08 19:40:42.881929+00:00
"Grapevine, TX, United States, 76051", 2015-01-08 19:41:42.625501+00:00
"Minneapolis, MN, USA, 55409", 2015-01-09 14:53:52.675637+00:00
"Flower Mound, TX, USA, 75022", 2015-01-09 14:55:05.038543+00:00
"Lubbock, TX, United States, 79424", 2015-01-09 15:12:30.443952+00:00
"Annapolis, MD, United States, 21401", 2015-01-09 15:26:32.852151+00:00
"Mechanicsville, MD, United States, 20659", 2015-01-09 18:10:52.495918+00:00
"Richmond, VA, United States, ", 2015-01-08 19:49:06.343734+00:00
"Cincinnati, Ohio, USA, 45255", 2015-01-08 19:50:26.192568+00:00
"Toronto , Ontario , Canada, ", 2015-01-09 03:58:16.658968+00:00
"Abu Dhabi, Abu Dhabi, United Arab Emirates, ", 2015-01-09 13:46:47.715504+00:00
"Merritt Island, FL, United States, ", 2015-01-09 14:55:40.630769+00:00
"Lionville Marchwood, PA, United States, 19353", 2015-01-09 15:26:09.846084+00:00
"Santa Fe, NM, United States, 87505", 2015-01-09 15:17:57.494048+00:00
"San Diego, CA, United States, 92110", 2015-01-08 19:59:20.933780+00:00
"Newtown, Connecticut, United States, 06470", 2015-01-09 01:00:53.576396+00:00
"Downingtown, Pennsylvania, United States, 19335", 2015-01-08 20:09:21.719058+00:00
"Frenchtown, NJ, United States, ", 2015-01-09 01:45:19.025955+00:00
"Duluth, Minnesota, USA, 55903", 2015-01-09 04:11:54.503148+00:00
"Beaverton, OR, United States, 97078", 2015-01-09 03:07:52.485319+00:00
"Overland Park, KS, United States, ", 2015-01-09 13:50:28.720096+00:00
"Lakeville, MA, USA, 02347", 2015-01-09 15:29:21.814285+00:00
"Eagan, MN, United States, 55123", 2015-01-08 20:19:31.162105+00:00
"San Francisco, CA, United States, 94116", 2015-01-08 22:54:56.087019+00:00
"Paso Robles, CA, USA, 93446", 2015-01-08 22:55:50.733874+00:00
"Longmont, CO, United States, 80503", 2015-01-08 23:07:38.275422+00:00
"Louisville, Kentucky, United States, 40228", 2015-01-09 01:16:34.597409+00:00
"Knoxville, TN, United States, 37918", 2015-01-09 04:38:01.970571+00:00
"Ozark, Missouri, USA, 65721", 2015-01-09 03:10:36.919430+00:00
"Belmont, MA, United States, 02478", 2015-01-09 13:57:32.105265+00:00
"Chester, England, United Kingdom, ", 2015-01-09 14:55:16.546765+00:00
"Enfield, CT, United States, 06082", 2015-01-08 20:30:41.504545+00:00
"Knoxville, TN, United States, 37902", 2015-01-09 13:54:30.912745+00:00
"Chevy Chase, Maryland, US, 20815", 2015-01-08 21:59:34.901942+00:00
"Seattle, WA, US, ", 2015-01-09 01:23:56.413548+00:00
"Tarpon Springs, FL, United States, ", 2015-01-09 13:43:24.052620+00:00
"Burlington, VT, United States, ", 2015-01-09 01:26:44.370485+00:00
"St. Petersburg , FL, United States, 33701", 2015-01-09 14:56:04.886250+00:00
"Coppell, TX, United States, 75019", 2015-01-08 20:48:01.181690+00:00
"Capitola, California, United States, ", 2015-01-08 21:17:55.428436+00:00
"LAWTON, Oklahoma, USA, ", 2015-01-08 22:02:56.571476+00:00
"Fort Mill, South Carolina, United States, ", 2015-01-08 20:55:01.392704+00:00
"Medford, New Jersey, United States, ", 2015-01-08 23:10:24.596951+00:00
"Hooksett, NH, USA, 03106", 2015-01-09 01:26:25.352879+00:00
"Irving, TX, United States, ", 2015-01-09 04:33:58.076879+00:00
"Fort Worth, TX, United States, ", 2015-01-08 21:29:55.813864+00:00
"PHOENIX, AZ, United States, 85012", 2015-01-08 21:49:27.141576+00:00
"Pueblo, CO, US, 81007", 2015-01-08 22:14:43.209646+00:00
"Johnson City, TN, United States, 37604", 2015-01-08 23:45:12.030214+00:00
"Carrollton, Texas, Usa, 75006", 2015-01-08 23:22:41.027807+00:00
"Fresno, CA, United States, 93730", 2015-01-08 23:22:54.400474+00:00
"Glasgow, Glasgow, United Kingdom, G51 1RF", 2015-01-08 21:58:37.288773+00:00
"United States, TX, United States, 78251", 2015-01-08 22:20:39.227585+00:00
"Mc Kinney, TX, United States, ", 2015-01-08 22:46:22.188685+00:00
"Bend, OR, USA, 97701", 2015-01-08 23:38:37.623712+00:00
"Escondido, CA, United States, ", 2015-01-09 20:56:15.770281+00:00
"Elizabethton, Tennessee, United States, 37643", 2015-01-09 00:07:41.056424+00:00
"Poughquag, New York, United States, 12570", 2015-01-09 00:55:31.587398+00:00
"kansas city, ks, usa, 66101", 2015-01-09 00:55:32.402148+00:00
"Norway, ME, United States, ", 2015-01-08 22:52:01.295566+00:00
"Madison, WI, United States, 53713", 2015-01-09 13:55:56.136046+00:00
"Kirkland, WA, United States, 98034", 2015-01-08 23:06:49.385123+00:00
"Glenhaven, New South Wales, Australia, 2156", 2015-01-08 22:56:32.814423+00:00
"Los Angeles, CA, United States, ", 2015-01-08 23:14:53.231513+00:00
"Lansdale, PA, USA, 19446", 2015-01-09 13:58:44.322439+00:00
"Minneapolis, MN, USA, 55406", 2015-01-09 00:07:56.407331+00:00
"Lookout Mountain , TN , United States, 37350", 2015-01-09 00:10:33.965176+00:00
"Dayton, OH, United States, ", 2015-01-09 00:40:05.541745+00:00
"Sewell, New Jersey, United States, 08080", 2015-01-09 13:59:25.851820+00:00
